mapping_id,role_id,sub_menu_id,privilege_id,created_by,created_date,last_modified_by,last_modified_date
366,11,55,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
367,11,55,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
368,11,55,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
369,11,55,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
370,11,56,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
371,11,56,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
372,11,56,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
373,11,56,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
374,11,56,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
375,11,57,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
376,11,57,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
377,11,57,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
378,11,57,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
379,11,57,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
380,11,59,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
381,11,59,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
382,11,59,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
383,11,59,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
384,11,59,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
385,11,58,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
386,11,58,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
387,11,58,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
388,11,58,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
389,11,58,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
390,11,61,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
391,11,61,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
392,11,61,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
393,11,61,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
394,11,61,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
395,11,63,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
396,11,63,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
397,11,63,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
398,11,63,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
399,11,63,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
400,11,62,1,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
401,11,62,2,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
402,11,62,3,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
403,11,62,4,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
404,11,62,5,SYSTEM,2026-02-10 04:15:42.8382,SYSTEM,2026-02-10 04:15:42.8382
